dataset_index,anon_code,reviewer,blind_morphology_pattern,blind_artifact_suspected,blind_notes,unblind_artifact_suspected,artifact_reason,morphology_pattern,confidence,notes
98,AUDIT-11,GPT-5.6 Sol (visual audit),large pit;low-frequency waviness,no,左中部存在孤立深坑，背景振幅低；G 全 valid。,no,repair=0，plane RMSE 约 0.27 um；孤立坑在原始与各尺度图中一致。,large pit;low-frequency waviness,high,低总体振幅上的真实 large-pit 形貌候选；其 morphology-isolation 选择理由值得保留。
175,AUDIT-12,GPT-5.6 Sol (visual audit),periodic stripe;anisotropic texture;large pit,no,规则竖直条纹非常清晰，同时叠加一个孤立大坑；无 repaired px。,no,repair=0，plane RMSE 约 0.37 um；条纹与孤立坑均为跨尺度一致结构。,periodic stripe;anisotropic texture;large pit,high,典型“周期条纹 + 局部坑”混合表型；作为 process-near-morph-far 候选时应分开看整体纹理与局部坑的贡献。
149,AUDIT-13,GPT-5.6 Sol (visual audit),edge contamination;localized collapse;low-frequency waviness,yes,底部边界出现大尺度深低区并直接截断于 ROI；有少量 repair，视觉上同时存在明显背景/边界疑点。,yes,plane RMSE 约 0.78 um，是所审样本中明显偏高的一类；同时结构与底边相连，repair 约 0.46%。优先怀疑 plane/ROI 边界问题。,edge contamination;localized collapse;low-frequency waviness,high,该样本不应作为“新形貌状态”的核心证据，除非原始测量/plane/ROI 复核通过；可保留在 inventory，但正式机制讨论应降权。
167,AUDIT-14,GPT-5.6 Sol (visual audit),periodic stripe;anisotropic texture;low-frequency waviness,no,右半区有清楚的竖直周期条纹，同时存在强长波左右梯度；G 全 valid。,no,repair=0，plane RMSE 约 0.44 um；周期条纹与长波背景均非修复局部产生。,periodic stripe;anisotropic texture;low-frequency waviness,high,global LOCO 约 rank 9，且 nearest-process 距离很小但 morphology distance 较大；是“真实、非 repair 的近工艺异形貌”重点候选之一。
179,AUDIT-15,GPT-5.6 Sol (visual audit),anisotropic texture;low-frequency waviness,no,水平分区/缓慢梯度为主，叠加低幅细结构；无可见 repair。,no,repair=0，plane RMSE 约 0.35 um；无明显 artifact 指征。,anisotropic texture;low-frequency waviness,high,低幅但 process-near-morph-far 候选；提示 Type-II 风格候选并不全由极端 Sq/深坑构成。
23,AUDIT-16,GPT-5.6 Sol (visual audit),multi-lobe morphology;low-frequency waviness,uncertain,多个大尺度正负叶瓣交错，局部有少量 repaired px；主结构明显大于 repair 区。,no,repair 约 0.5%，plane RMSE 约 0.22 um；repair 比例较低且没有支配主要多叶瓣结构。,multi-lobe morphology;low-frequency waviness,high,global LOCO 约 rank 7、Sq 约 6.8 um。揭盲后更支持真实大尺度多叶瓣极端形貌，而非 preprocessing artifact。
82,AUDIT-17,GPT-5.6 Sol (visual audit),edge contamination;large-area dropout;repair-driven feature;localized collapse,yes,底边出现大面积极端结构，G 中成片 repaired px 与其明显重合；高度怀疑 dropout/repair 影响。,yes,repair 约 2.7%，且 repaired 区域集中在主极端形貌附近；尽管真实表面可能同样极端，当前图不足以把其高差与 repair 分离。,edge contamination;large-area dropout;repair-driven feature;localized collapse,high,Sq 很高，但 global LOCO 不是最高。应作为 artifact-sensitive / high-amplitude 对照，而不是离散 regime 的单独证据。
178,AUDIT-18,GPT-5.6 Sol (visual audit),anisotropic texture;low-frequency waviness,no,上、下区域纹理统计不同，呈弱方向性与长波变化；G 全 valid。,no,repair=0，plane RMSE 约 0.35 um；无明显 artifact 指征。,anisotropic texture;low-frequency waviness,high,低幅 process-near-morph-far 候选。形貌差异更像纹理/空间组织变化，而非单纯振幅异常。
154,AUDIT-19,GPT-5.6 Sol (visual audit),edge contamination;localized collapse;low-frequency waviness,uncertain,左边界进入大块高差区域，中央 profile 有明显阶跃；少量 repaired px。,uncertain,repair 约 0.33%，plane RMSE 约 0.38 um；不足以解释整个边界平台，但 ROI 边界侵入仍无法排除。,edge contamination;localized collapse;low-frequency waviness,medium,global LOCO 约 rank 3、Sq 约 6.45 um。它与 rank-1 表面共同显示：global leverage 常与强长波/边界阶跃形貌共现，但来源仍需 raw ROI 审计。
44,AUDIT-20,GPT-5.6 Sol (visual audit),repair-driven feature;multi-lobe morphology;localized collapse,uncertain,中央大尺度不规则高差结构明显，G 有若干 repair 簇但面积小于主结构；不能盲判其主导性。,uncertain,repair 约 1.2%，plane RMSE 约 0.39 um；修复与主结构部分重合，但不足以证明整幅多叶瓣形貌由修复生成。,repair-driven feature;multi-lobe morphology;localized collapse,medium,global LOCO 约 rank 6、Sq 约 5.76 um。作为高杠杆样本应保留，但必须在 raw/repaired sensitivity 中单独检查。
155,AUDIT-21,GPT-5.6 Sol (visual audit),edge contamination;multi-lobe morphology;low-frequency waviness,uncertain,左侧边界高差明显，内部另有局部结构；G 几乎全 valid。,uncertain,repair=0，plane RMSE 约 0.38 um；没有修复证据，但边界相连大尺度结构使 ROI 来源仍不确定。,edge contamination;multi-lobe morphology;low-frequency waviness,medium,高杠杆来源更可能是大尺度空间组织而非 repair；建议与相邻 T02 条件样本成组审计。
43,AUDIT-22,GPT-5.6 Sol (visual audit),edge contamination;multi-lobe morphology;low-frequency waviness,uncertain,右边界及左侧边缘均出现大尺度高差结构，伴少量 repaired px。,uncertain,repair 约 0.3%，plane RMSE 约 0.22 um；修复较少，主结构仍以边界相连的真实形貌/ROI 侵入二者未决。,edge contamination;multi-lobe morphology;low-frequency waviness,medium,DCT 16–32 高 leverage 与较高 Sq 同时出现。暂不作为纯 artifact，也不作为独立机制证据。
78,AUDIT-23,GPT-5.6 Sol (visual audit),periodic stripe;anisotropic texture,no,高度规则的竖直周期条纹贯穿 ROI；G 全 valid，8–16 um 分量尤其强。,no,repair=0，plane RMSE 约 0.18 um；条纹稳定且跨尺度一致。,periodic stripe;anisotropic texture,high,DCT 8–16 leverage 候选的干净代表；适合与 AUDIT-25/26 一起构成周期条纹形貌族。
152,AUDIT-24,GPT-5.6 Sol (visual audit),large pit;low-frequency waviness,no,以大尺度左右梯度为主，并叠加局部凹坑；G 全 valid。,no,repair=0，plane RMSE 约 0.38 um；没有可见 repair 或 dropout 证据。,large pit;low-frequency waviness,high,关键反例：global LOCO 约 rank 5，但 Sq 仅约 0.75 um。说明 leverage 不能被“仅是高 Sq/高振幅尾部”解释，空间组织/方向同样重要。
183,AUDIT-25,GPT-5.6 Sol (visual audit),periodic stripe;anisotropic texture,no,清晰、近等间距的竖直周期条纹；G 全 valid。,no,repair=0，plane RMSE 约 0.37 um；无明显 artifact。,periodic stripe;anisotropic texture,high,DCT 8–16 高 leverage 候选；与 AUDIT-23/26 的视觉一致性支持一个可重复识别的“周期条纹”形貌族，但不等同于已证明的物理 regime。
111,AUDIT-26,GPT-5.6 Sol (visual audit),periodic stripe;anisotropic texture,no,规则竖直条纹明显，伴中尺度起伏；G 全 valid。,no,repair=0，plane RMSE 约 0.20 um；无明显 artifact。,periodic stripe;anisotropic texture,high,另一干净的 DCT 8–16 周期条纹样本；global LOCO 很低，提示 scale-specific leverage 与 global leverage 是不同问题。
48,AUDIT-27,GPT-5.6 Sol (visual audit),multi-lobe morphology,no,总体振幅很低、细碎多叶瓣/颗粒状结构，无单一强异常、无 repair。,no,repair=0，plane RMSE 约 0.20 um；无 artifact 指征。,multi-lobe morphology,high,揭盲为 exact-repeat sentinel 的一员（sample 48 / process order 49）；Sq 约 0.219 um。应仅作为 repeatability sentinel，不赋予“低噪声基准”之外的普遍含义。
49,AUDIT-28,GPT-5.6 Sol (visual audit),multi-lobe morphology,no,与 AUDIT-27 类似的低振幅颗粒/多叶瓣结构，无明显修复或大尺度异常。,no,repair=0，plane RMSE 约 0.20 um；无 artifact 指征。,multi-lobe morphology,high,揭盲为 exact-repeat sentinel 的另一员（sample 49 / process order 50）；与 AUDIT-27 视觉及尺度振幅非常接近，nearest total morphology distance 约 0.29 um。仍只能称 repeatability sentinel。
