single_line_id,session_id,measurement_id,sample_id,roi_within_measurement,cag_path,cag_path_index,pulse_duration_fs,frequency_kHz,velocity_mm_s,pass_count,pulse_pitch_um,E_line_J_mm,E_line_J,power_W_or_proxy,power_source_note,pixel_size_um,z_step_um,line_scan_direction,line_scan_direction_note,measurement_orientation_theta_deg,orientation_confident,processing_date_or_batch,date_confidence,height_data_type,background_correction_status,plane_a,plane_b,plane_c,plane_rmse_um,sigma_ref_um,valid_mask_status,hatch_spacing_um,replicates,provenance_same_system,provenance_system_note,units_note,mapping_provenance,exclusion_note,geometry_qc,notes
11,zro2_120_line,11,11,single,氧化锆/120组直线.cag,11,500,20,5,5,0.25,5.333,1.0666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.6256123512166312,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0021807012910492,0.0155237239151082,24.102575205795397,0.2611535734993887,0.2461286420090405,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
12,zro2_120_line,12,12,single,氧化锆/120组直线.cag,12,4000,10,5,1,0.5,1.0666,0.21332,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5640198485413066,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0032526864296555,0.0213488298613309,15.668949442003347,0.3031370574392738,0.2889849432239029,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
13,zro2_120_line,13,13,single,氧化锆/120组直线.cag,13,223,10,25,5,2.5,1.0666,0.21332,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5602357130055964,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0025060506798724,0.0171313286977472,18.48103297844896,0.2409705012944965,0.2278114025682596,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
14,zro2_120_line,14,14,single,氧化锆/120组直线.cag,14,4000,10,10,1,1.0,0.5333,0.10666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.497556707574887,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0024579303343383,0.0142551397988128,13.603563888100666,0.2555243920195165,0.2517407225042586,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
15,zro2_120_line,15,15,single,氧化锆/120组直线.cag,15,2000,5,25,1,5.0,0.21332,0.042664,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.425950008066593,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0031169516209777,0.0178340852948108,11.950421464965462,0.2957994680564054,0.2707516167404761,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
16,zro2_120_line,16,16,single,氧化锆/120组直线.cag,16,500,40,20,3,0.5,0.79995,0.15999000000000002,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5371066158066355,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0032815992467988,0.0249860651486848,20.873262570907368,0.3049328182552971,0.296086634294913,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
17,zro2_120_line,17,17,single,氧化锆/120组直线.cag,17,223,20,5,4,0.25,4.2664,0.85328,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.4419206551322929,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0030231202205266,0.0196093254359626,22.181480333946705,0.2883620737558166,0.2765984051030489,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
18,zro2_120_line,18,18,single,氧化锆/120组直线.cag,18,500,5,20,4,4.0,1.0666,0.21332,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.4562528872582732,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0039397124035658,0.0181567057289795,18.29317665028572,0.2665132804818368,0.2599151820088063,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
19,zro2_120_line,19,19,single,氧化锆/120组直线.cag,19,500,10,5,5,0.5,5.333,1.0666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5890289510199977,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0030879204493849,0.0172795471952413,23.5031699493492,0.2754789407540168,0.2691610665043644,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
20,zro2_120_line,20,20,single,氧化锆/120组直线.cag,20,1000,5,25,4,5.0,0.85328,0.170656,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.4261182798649088,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0021452395550592,0.0194531177014622,17.918990888240643,0.3049330725972983,0.2897351499771322,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
21,zro2_120_line,21,21,single,氧化锆/120组直线.cag,21,4000,20,10,3,0.5,1.5999,0.31998000000000004,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.4719931978175395,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,0.0014625269881512,0.0153632567037667,18.0269542531887,0.2709262221915023,0.2550916659318759,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
22,zro2_120_line,22,22,single,氧化锆/120组直线.cag,22,4000,5,20,2,4.0,0.5333,0.10666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5600649670863049,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0019557802891188,0.0191461258324131,12.991472350441866,0.3253645953544483,0.2940400682111254,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
23,zro2_120_line,23,23,single,氧化锆/120组直线.cag,23,4000,40,20,2,0.5,0.5333,0.10666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.3645290631933449,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0031562959205058,0.0197413937141259,16.512182424493833,0.3107872216924849,0.2945391148251252,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
24,zro2_120_line,24,24,single,氧化锆/120组直线.cag,24,2000,5,10,4,2.0,2.1332,0.42664,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5052198948286559,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0026491370096594,0.0185681581082551,15.797983563528726,0.3669556351381639,0.3302247864960173,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
25,zro2_120_line,25,25,single,氧化锆/120组直线.cag,25,2000,20,15,5,0.75,1.7776666666666665,0.35553333333333337,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.6174423938090001,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.00273010550479,0.0187547838497734,19.276104176221683,0.3563654430941583,0.3259114417754846,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
26,zro2_120_line,26,26,single,氧化锆/120组直线.cag,26,223,5,25,3,5.0,0.63996,0.127992,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5470404732540999,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0032228192426292,0.0141275350751586,15.53257146295782,0.2553098250005177,0.2400032172843407,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
27,zro2_120_line,27,27,single,氧化锆/120组直线.cag,27,4000,2,5,5,2.5,5.333,1.0666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5776773812923182,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.003426088868257,0.0187760284079607,13.972718671189844,0.2515562077016953,0.2275337467911222,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
28,zro2_120_line,28,28,single,氧化锆/120组直线.cag,28,4000,2,10,4,5.0,2.1332,0.42664,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),0.1290342706696492,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0162417477361103,0.0092851341015247,16.376310297389274,0.6987621954571803,0.6397156104769849,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
