single_line_id,qa_label,annotator,timestamp_utc,comment
21,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度有多处尖锐下陷，宽度分布偏散。
22,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面清晰连续，但未形成可用截面/稳定区，保守标不确定。
23,uncertain,GPT,2026-09-04T05:37:17Z,主段可辨，但稳定段内有多处明显深度下陷和宽度离群。
24,uncertain,GPT,2026-09-04T05:37:17Z,主槽清晰，但可用稳定段偏短，宽度分布较散。
25,reject_geometry,GPT,2026-09-04T05:37:17Z,主槽被中部明显缺口分隔，且无可用截面，几何代表性不足。
26,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央长段深度较平稳；端部渐变明显且可与主段区分。
27,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央稳定段深度平稳，宽度分布集中。
28,reject_geometry,GPT,2026-09-04T05:37:17Z,可辨段很短，右侧强异常/端部结构占主导，无可用截面。
29,uncertain,GPT,2026-09-04T05:37:17Z,稳定段深度有明显台阶/端部变化，截面形状有肩部，宽度分布散。
30,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央稳定段深度平稳，宽度主体集中。
31,uncertain,GPT,2026-09-04T05:37:17Z,稳定段较短且沿线深度强烈起伏，宽度呈多峰。
32,uncertain,GPT,2026-09-04T05:37:17Z,可见长度偏短，深度与宽度均显著波动。
33,reject_geometry,GPT,2026-09-04T05:37:17Z,中部明显断裂将主槽分隔，且可见长度短，几何不可靠。
34,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续但深度高频波动大，宽度分布很散。
35,usable,GPT,2026-09-04T05:37:17Z,中央稳定段深度平稳，宽度主体集中，端部效应可区分。
36,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度周期起伏明显，截面有台阶，宽度较散。
37,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面连续，但无可用截面/稳定区；仍可辨主段。
38,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央深度变化平缓，宽度主体较集中。
39,uncertain,GPT,2026-09-04T05:37:17Z,稳定段深度水平较高但波动明显，宽度分布较宽。
40,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度起伏频繁，宽度分布偏散。
41,uncertain,GPT,2026-09-04T05:37:17Z,主槽可辨但呈明显周期性深浅变化，未形成可用截面。
42,reject_geometry,GPT,2026-09-04T05:37:17Z,可见长度很短且存在明显视场截断，截面/边界不可靠。
43,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度呈锯齿式波动，宽度明显多峰。
44,uncertain,GPT,2026-09-04T05:37:17Z,可见长度偏短，截面不规则，深度与宽度均较散。
45,reject_geometry,GPT,2026-09-04T05:37:17Z,可见段较短且由多个分离深坑组成，无稳定截面。
46,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央深度较平稳，代表性截面单一，端部可区分。
47,uncertain,GPT,2026-09-04T05:37:17Z,稳定段内深度多次急变，宽度分布较散。
48,reject_geometry,GPT,2026-09-04T05:37:17Z,主槽由多个分离深结构组成，且无可用截面。
49,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面连续，但无稳定区/截面统计；保守标不确定。
50,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央深度变化平缓，宽度主体集中。
51,usable,GPT,2026-09-04T05:37:17Z,中央长段深度较平稳，截面单一，宽度分布可接受。
52,uncertain,GPT,2026-09-04T05:37:17Z,主槽可辨，但中部有明显竖向异常且未形成可用截面。
53,reject_geometry,GPT,2026-09-04T05:37:17Z,可见段短且由分离深坑构成，无稳定主段。
54,uncertain,GPT,2026-09-04T05:37:17Z,稳定段有明显深度下陷，宽度分布多峰/长尾。
55,uncertain,GPT,2026-09-04T05:37:17Z,稳定段深度强烈起伏，宽度分布很散。
56,uncertain,GPT,2026-09-04T05:37:17Z,稳定段偏短，深度波动大，宽度呈双峰倾向。
57,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续但深度波动明显，宽度分布有较长尾部。
58,uncertain,GPT,2026-09-04T05:37:17Z,中央有局部异常竖线并导致深度尖锐下陷，主槽其余可辨。
59,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度强烈起伏，宽度分布较散。
60,reject_geometry,GPT,2026-09-04T05:37:17Z,仅极短可见段/端部结构，无可用截面，无法代表单线。
61,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面连续清晰，但无可用截面/稳定区。
62,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续，但中部有局部竖向异常，深度呈系统性弯曲。
63,reject_geometry,GPT,2026-09-04T05:37:17Z,中部明显断裂分隔主槽，可见段较短，几何不可靠。
64,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面连续，但未建立可用稳定区/截面。
65,uncertain,GPT,2026-09-04T05:37:17Z,稳定段总体可辨，但有多处尖锐深度下陷。
66,reject_geometry,GPT,2026-09-04T05:37:17Z,主槽被多个明显竖向缺口分成数段，且无可用截面。
67,uncertain,GPT,2026-09-04T05:37:17Z,稳定段深度起伏大，宽度分布较散。
68,uncertain,GPT,2026-09-04T05:37:17Z,中部有明显竖向异常，深度呈U形趋势，宽度有尾部离群。
69,usable,GPT,2026-09-04T05:37:17Z,中央稳定段深度较平稳，截面单一，端部渐变可区分。
70,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央段较稳定，宽度主体集中；仅有局部小异常。
71,uncertain,GPT,2026-09-04T05:37:17Z,中央段可辨，但右侧有局部深度下陷，宽度分布偏散。
72,uncertain,GPT,2026-09-04T05:37:17Z,主槽呈明显周期性深浅/局部分隔，深度与宽度均不稳定。
73,reject_geometry,GPT,2026-09-04T05:37:17Z,仅极短可见段，主要由两端异常结构构成，无可用截面。
74,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续，但深度呈明显U形趋势，宽度有离群尾部。
75,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面连续，但无可用截面/稳定区。
76,usable,GPT,2026-09-04T05:37:17Z,中央稳定段深度平缓，主槽连续，宽度主体集中。
77,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面清晰连续，但无稳定区/截面统计。
78,reject_geometry,GPT,2026-09-04T05:37:17Z,中部存在大范围断裂，将主槽分成两部分，且无可用截面。
79,usable,GPT,2026-09-04T05:37:17Z,主槽清晰连续，中央深度高度平稳，宽度分布集中。
80,uncertain,GPT,2026-09-04T05:37:17Z,主槽可辨但较弱，未形成可用截面/稳定区。
81,uncertain,GPT,2026-09-04T05:37:17Z,截面明显不对称并带肩峰，沿线深度波动大。
82,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面连续，但无可用截面/稳定区。
83,reject_geometry,GPT,2026-09-04T05:37:17Z,中部明显断裂且槽体呈分离结构，无可用截面。
84,reject_geometry,GPT,2026-09-04T05:37:17Z,可辨段短且主槽较弱，端部异常占主导，无可用截面。
85,uncertain,GPT,2026-09-04T05:37:17Z,可见长度偏短，沿线深度强烈起伏，宽度分布较散。
86,usable,GPT,2026-09-04T05:37:17Z,中央长段深度平稳，宽度分布集中，主槽连续。
87,reject_geometry,GPT,2026-09-04T05:37:17Z,存在贯穿式强竖向伪影并分隔槽体，且无可用截面。
88,uncertain,GPT,2026-09-04T05:37:17Z,稳定段短且深度波动大，宽度分布多峰。
89,uncertain,GPT,2026-09-04T05:37:17Z,主槽清晰，但沿线深度波动频繁，截面明显不对称。
90,reject_geometry,GPT,2026-09-04T05:37:17Z,槽体呈多个分离深结构，且无稳定区/截面。
91,uncertain,GPT,2026-09-04T05:37:17Z,稳定段内多处明显深度下陷，宽度分布有双峰倾向。
92,uncertain,GPT,2026-09-04T05:37:17Z,主槽可辨但呈周期性深浅变化，未形成可用截面。
93,uncertain,GPT,2026-09-04T05:37:17Z,可见长度偏短且有局部竖向异常，深度/宽度波动大。
94,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续，但稳定段深度高频波动，宽度较散。
95,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央段深度总体平稳，宽度主体集中。
96,reject_geometry,GPT,2026-09-04T05:37:17Z,可见段很短且由多个分离深结构组成，无可用截面。
97,uncertain,GPT,2026-09-04T05:37:17Z,稳定段深度波动大，宽度分布呈明显多峰。
98,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续，但沿线有局部尖锐深度异常，宽度有离群尾部。
99,uncertain,GPT,2026-09-04T05:37:17Z,中央段有多处尖锐深度下陷，宽度分布多峰。
100,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央深度平稳，宽度主体集中，端部可区分。
101,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度高频波动，宽度分布较宽。
102,uncertain,GPT,2026-09-04T05:37:17Z,槽体较浅且截面/深度噪声较大，宽度分布明显多峰。
103,uncertain,GPT,2026-09-04T05:37:17Z,沿线呈周期性深浅变化，深度波动较大，宽度有长尾。
104,uncertain,GPT,2026-09-04T05:37:17Z,主段连续，但右端有明显异常下陷，宽度仍有较多离群。
105,uncertain,GPT,2026-09-04T05:37:17Z,中部有明显竖向缺口，主槽其余可辨但宽度分布偏散。
106,uncertain,GPT,2026-09-04T05:37:17Z,稳定段较短，深度出现多次高幅峰谷，宽度多峰。
107,reject_geometry,GPT,2026-09-04T05:37:17Z,槽体呈多个分离深结构，且无可用截面/稳定区。
108,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央深度变化平缓，宽度主体集中。
109,uncertain,GPT,2026-09-04T05:37:17Z,槽体较浅且截面噪声明显，可见长度偏短，宽度分布散。
110,uncertain,GPT,2026-09-04T05:37:17Z,主槽可辨，但稳定区/截面未建立，深度沿线不均。
111,usable,GPT,2026-09-04T05:37:17Z,中央稳定段深度较平稳，主槽连续；宽度虽有散布但无明显分离。
112,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续但截面较粗糙不规则，宽度分布较宽。
113,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度强烈周期起伏，宽度分布较散。
114,reject_geometry,GPT,2026-09-04T05:37:17Z,可见段较短且较弱，端部异常明显，无可用截面。
115,uncertain,GPT,2026-09-04T05:37:17Z,稳定段有多处深度急降，宽度分布很散。
116,uncertain,GPT,2026-09-04T05:37:17Z,稳定段偏短，局部有明显深度急降，宽度较散。
117,uncertain,GPT,2026-09-04T05:37:17Z,主槽可辨但沿线强度/深度不均，未形成可用截面。
118,uncertain,GPT,2026-09-04T05:37:17Z,主槽图面连续，但无可用截面/稳定区。
119,reject_geometry,GPT,2026-09-04T05:37:17Z,槽体呈多个分离深坑并伴随右侧强异常，无法代表单线。
120,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度强烈起伏，宽度分布宽且多峰，截面顶部有尖峰。
